index,text,label,occurence
"Index([2799], dtype='int64')",jokowi sinkronisasi malu mem babi buta kajitow elkayeni tampil prabowo debat berantak orang menhan paham tahan laku prabowo kerja serah orang isi oopilot prabowo rapat istana laku kunjung seremonial biar muka nongol kamera gagas prabowo ngeblank kritik aman bingung memposisikan korban laku ad hominem utara data tim prabowo usaha narasi bodoh tahan rahasia undang undang rahasia rahasia arah presiden turun tangan tumpuk bakar catat debat jokowi sok sok perintah kpu sejarah indonesia kali presiden campur teknis urus internal kpu calon presiden kecuali jokowi nyapres konstitusi larang dpr tolak amandemen undang undang dasar orang presiden kampanye bansos baliho prabowo gibran kadang beras amplop buah video banten presiden lempar lempar kaos massa timses rawan kerumun olah olah hadir jokowi sambut tumpah ruah disetting hadir jokowi anggap pamor redup sebentar orang orang ungkit dosa dosa massa beras kaos jokowi anggap kaum dhuafa kelompok miskin eksploitasi miskin kaos lempar lempar politis kacrut laku rupa komentar ekspos bantu cium raja derajat jelata beda politis tengik butuh efek penuh sesak olah olah sambut riah hadir kim jong un korea utara pikir kondisi gendong bayi jatuh bayi injak injak manusia dasar rezim feodal samping jokowi mendag zulhas clingak clinguk tim dokumen nyata tolol tim istana nyawa rakyat injak bayi mati ya salah miskin orang miskin laku hina kuasa diam kepala jokowi kondisi panik prabowo untung putar prabowo kalah lawan instrumen kuasa kerah polisi satpol pp kepala desa babinsa elektabilitas puncak ancam turun tampil prabowo buruk bumn gerak bohir setir bansos blt alir air bah politis aneh aneh ancam hukum ngos ngosan ya rugi bandar orang panik,Ideologi,1
"Index([1582], dtype='int64')",kampung susun kunir jakarta karya anies baswedan raih medali emas world habitat awards loh kampung susun menang lomba inovasi solusi solusi kota tingkat dunia resmi kampung susun kunir,Sosial Budaya,1
"Index([1833], dtype='int64')",kampung susun kunir jakarta karya anies baswedan raih medali emas world habitat awards loh kampung susun menang lomba inovasi solusi solusi kota tingkat dunia resmi kampung susun kunir,Sumber Daya Alam,1
"Index([741, 2996], dtype='int64')",kasi bener gaza genosida israel bilang lemah prabowo,Sosial Budaya,2
"Index([1169], dtype='int64')",kasi bener gaza genosida israel bilang lemah prabowo,Politik,1
"Index([355], dtype='int64')",kawal lapis pilpres kali pilpres licik tenaga laku waspada ketat kawal anies lapis protokoler aman kepala negara,Pertahanan dan Keamanan,1
"Index([1856], dtype='int64')",kawal lapis pilpres kali pilpres licik tenaga laku waspada ketat kawal anies lapis protokoler aman kepala negara,Politik,1
"Index([3879], dtype='int64')",lahir gede nenek nenek moyang jakarta dah kepala era anies jakarta adem indahhhh banget jazakallah moga berat timbang amal yaumil hisab moga cacat sejarah jakarta,Ideologi,1
"Index([4207], dtype='int64')",lahir gede nenek nenek moyang jakarta dah kepala era anies jakarta adem indahhhh banget jazakallah moga berat timbang amal yaumil hisab moga cacat sejarah jakarta,Demografi,1
"Index([839, 1744, 2185, 2354, 2469, 2890, 2970, 3003, 4794, 4926], dtype='int64')",liat track record nya ganjar pranowo mahfud md banget deh ganjar pranowo mahfud mdmahfudrebound ganjar pranowo mahfud mdpranowopilihanumat jnk,Politik,10
"Index([1345, 4471, 4527], dtype='int64')",liat track record nya ganjar pranowo mahfud md banget deh ganjar pranowo mahfud mdmahfudrebound ganjar pranowo mahfud mdpranowopilihanumat jnk,Ideologi,3
"Index([1765], dtype='int64')",liat track record nya ganjar pranowo mahfud md banget deh ganjar pranowo mahfud mdmahfudrebound ganjar pranowo mahfud mdpranowopilihanumat jnk,Sumber Daya Alam,1
"Index([2278], dtype='int64')",luas jogja rb hektar luas jakarta rb hektar luas singapura rb hektar anies bicara timpang orang tanah rb hektar prajurit tni jaga awas negara rumah,Pertahanan dan Keamanan,1
"Index([3630], dtype='int64')",luas jogja rb hektar luas jakarta rb hektar luas singapura rb hektar anies bicara timpang orang tanah rb hektar prajurit tni jaga awas negara rumah,Politik,1
"Index([2108], dtype='int64')",mas china kristen warga jkt ramai polarisasi temu hoax thd mis tuduh korupsi anggar menteri didik sbtlnya menkeu tindak lapor anies,Politik,1
"Index([2690, 4153], dtype='int64')",mas china kristen warga jkt ramai polarisasi temu hoax thd mis tuduh korupsi anggar menteri didik sbtlnya menkeu tindak lapor anies,Pertahanan dan Keamanan,2
"Index([1210, 1254, 1347, 2249, 3801], dtype='int64')",minoritas gedeg sadar analisis dki bawa pimpin anies libat kelompok islam alat kampanye anies buka ekstrem cont,Sosial Budaya,5
"Index([1360], dtype='int64')",minoritas gedeg sadar analisis dki bawa pimpin anies libat kelompok islam alat kampanye anies buka ekstrem cont,Politik,1
"Index([2074], dtype='int64')",nakes desak anies pr negara hadir sehat kualitas warga layan sehat seringkali negara memposisikan nakes korban nama rakyat nakes rakyat desak anies hadir sehat adil rakyat adil nakes nakesdesakanies,Politik,1
"Index([3156, 3452], dtype='int64')",nakes desak anies pr negara hadir sehat kualitas warga layan sehat seringkali negara memposisikan nakes korban nama rakyat nakes rakyat desak anies hadir sehat adil rakyat adil nakes nakesdesakanies,Sosial Budaya,2
"Index([595], dtype='int64')",nyata anies gila share grup bangga anak bangsa indonesia penuh prestasi karya abal,Demografi,1
"Index([2900], dtype='int64')",nyata anies gila share grup bangga anak bangsa indonesia penuh prestasi karya abal,Sosial Budaya,1
"Index([4713], dtype='int64')",nyata anies gila share grup bangga anak bangsa indonesia penuh prestasi karya abal,Pertahanan dan Keamanan,1
"Index([2275], dtype='int64')",orang lamar kerja pimpin indonesia kelola apbn kontrol thd sekian negeri sumber daya alam hapus rekam jejak pimpin instansi anies kupas polusi jakarta,Sumber Daya Alam,1
"Index([4104], dtype='int64')",orang lamar kerja pimpin indonesia kelola apbn kontrol thd sekian negeri sumber daya alam hapus rekam jejak pimpin instansi anies kupas polusi jakarta,Politik,1
"Index([1014], dtype='int64')",pasang capres cawapres ri no capres ganjar pranowo mahfud md ekonomi tumbuh capai pesat ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,1
"Index([1404], dtype='int64')",pasang capres cawapres ri no capres ganjar pranowo mahfud md ekonomi tumbuh capai pesat ganjarmahfudrebound ganjarpranowopilihanumat jnk,Ekonomi,1
"Index([3524, 3536], dtype='int64')",pasang prabowo gibran hilir debat capres nyata program hilir nikel perintah jokowi simpan sisi gelap potensi rusak lingkung celaka smelter nikel ulang kali makan korban jiwa bakar smelter milik pt itss morowali parah lihat orang kerja nama investasi hidup kerja olah olah harga podcasttempo apakatatempo,Sumber Daya Alam,2
"Index([3861], dtype='int64')",pasang prabowo gibran hilir debat capres nyata program hilir nikel perintah jokowi simpan sisi gelap potensi rusak lingkung celaka smelter nikel ulang kali makan korban jiwa bakar smelter milik pt itss morowali parah lihat orang kerja nama investasi hidup kerja olah olah harga podcasttempo apakatatempo,Politik,1
"Index([888], dtype='int64')",paslon ganjar pranowo calon pimpin peduli tani kuota pupuk tani bagus ganjarpranowopilihanumat ganjarmahfudrebound jnk,Ekonomi,1
"Index([2131, 3102], dtype='int64')",paslon ganjar pranowo calon pimpin peduli tani kuota pupuk tani bagus ganjarpranowopilihanumat ganjarmahfudrebound jnk,Sumber Daya Alam,2
"Index([2527], dtype='int64')",pendeta yusak magetan ponorogo jawa timur hadir dukung anies baswedan fitnah anies intoleransi radikal radikul,Politik,1
"Index([4334], dtype='int64')",pendeta yusak magetan ponorogo jawa timur hadir dukung anies baswedan fitnah anies intoleransi radikal radikul,Sumber Daya Alam,1
"Index([1985], dtype='int64')",pergi minangkabo pinang calon istri bawa krupuk mlinjo karung roti pilih prabowo srek jokowi pilih prabowo anies sentuh hati,Sosial Budaya,1
"Index([3482], dtype='int64')",pergi minangkabo pinang calon istri bawa krupuk mlinjo karung roti pilih prabowo srek jokowi pilih prabowo anies sentuh hati,Pertahanan dan Keamanan,1
"Index([2545], dtype='int64')",pimpin harap sambut heboh riah pr tani spt suara pr tani inti pengin hati bantu dr perintah antusias dengar ganjar hapus kredit macet tani rembuganjar,Sosial Budaya,1
"Index([3319], dtype='int64')",pimpin harap sambut heboh riah pr tani spt suara pr tani inti pengin hati bantu dr perintah antusias dengar ganjar hapus kredit macet tani rembuganjar,Ekonomi,1
"Index([734, 1362, 2151, 2309, 4252], dtype='int64')",point sara jakarta ulah ahok mayoritas ummat islam musuh ummat agama point hak nilai agama radikal point tokoh agama apresiasi gubernur dki jakarta anies baswedan bukti diskriminasi point selamat selamat natal haram hukum agama islam ummat islam selamat raya natal point kandung kelompok takut siar ormas islam simpul lihat tuntut ajuk simpul orang toleran terima beda,Ideologi,5
"Index([1821, 2565, 3974, 4405, 4848], dtype='int64')",point sara jakarta ulah ahok mayoritas ummat islam musuh ummat agama point hak nilai agama radikal point tokoh agama apresiasi gubernur dki jakarta anies baswedan bukti diskriminasi point selamat selamat natal haram hukum agama islam ummat islam selamat raya natal point kandung kelompok takut siar ormas islam simpul lihat tuntut ajuk simpul orang toleran terima beda,Sosial Budaya,5
"Index([1090], dtype='int64')",prabowo ambil gaza contoh lemah tindas dgaf,Politik,1
"Index([1643, 1773, 2273, 4016], dtype='int64')",prabowo ambil gaza contoh lemah tindas dgaf,Pertahanan dan Keamanan,4
"Index([2339], dtype='int64')",prabowo berpendapat palestina duduk senjata militer rute luas demon rohingnya orang hitler usaha bantah tuduh,Pertahanan dan Keamanan,1
"Index([4840], dtype='int64')",prabowo berpendapat palestina duduk senjata militer rute luas demon rohingnya orang hitler usaha bantah tuduh,Politik,1
"Index([4772], dtype='int64')",prabowo cinta gaza perang genosida lemes gue dengernya,Pertahanan dan Keamanan,1
"Index([4935], dtype='int64')",prabowo cinta gaza perang genosida lemes gue dengernya,Politik,1
"Index([1190, 2076, 3402, 3570, 3883, 4620], dtype='int64')",prabowo ngomong malu yerusalem ibukota israel indonesia debat capres sudut gaza kait pasuk militer layak semat capres pro zionis prabowo layak mimpin bangsa,Ideologi,6
"Index([2345], dtype='int64')",prabowo ngomong malu yerusalem ibukota israel indonesia debat capres sudut gaza kait pasuk militer layak semat capres pro zionis prabowo layak mimpin bangsa,Politik,1
"Index([2502], dtype='int64')",prabowo percaya orang palestina gaza lemah anggap juang hadap jajah juang hidup sudut pandang masuk akal,Politik,1
"Index([3812], dtype='int64')",prabowo percaya orang palestina gaza lemah anggap juang hadap jajah juang hidup sudut pandang masuk akal,Sosial Budaya,1
"Index([797], dtype='int64')",program dipake kampanye partai gerindra prabowo gibran cc tri tahan ngurus air bersih food estate gagal nanam singkong tumbuh bohong,Ideologi,1
"Index([3385], dtype='int64')",program dipake kampanye partai gerindra prabowo gibran cc tri tahan ngurus air bersih food estate gagal nanam singkong tumbuh bohong,Sumber Daya Alam,1
"Index([597, 1990, 4843], dtype='int64')",program ekonomi amin acara dialog kamar dagang industri indonesia kadin capres anies rasyid baswedan kuliah online dengar papar anies daging,Ekonomi,3
"Index([2709], dtype='int64')",program ekonomi amin acara dialog kamar dagang industri indonesia kadin capres anies rasyid baswedan kuliah online dengar papar anies daging,Politik,1
"Index([720], dtype='int64')",rakyat sedia anggar subsidi pupuk milih prabowo bebas subsidi politik partisan kejam kaya gin faham peduli atur negara ya,Demografi,1
"Index([1630], dtype='int64')",rakyat sedia anggar subsidi pupuk milih prabowo bebas subsidi politik partisan kejam kaya gin faham peduli atur negara ya,Pertahanan dan Keamanan,1
"Index([290, 2255], dtype='int64')",salut teman teman bareng ubah sigap pindah lokasi malam wujud laksana desak anies edisi didik yogyakarta bangga teman teman hadir desak anies anak anak muda milik semangat ubah antusias diskusi didik ubah indonesia adalagi undang wujud bebas bicara aminajadulu desakanies yogyakarta jogja,Sosial Budaya,2
"Index([1772], dtype='int64')",salut teman teman bareng ubah sigap pindah lokasi malam wujud laksana desak anies edisi didik yogyakarta bangga teman teman hadir desak anies anak anak muda milik semangat ubah antusias diskusi didik ubah indonesia adalagi undang wujud bebas bicara aminajadulu desakanies yogyakarta jogja,Politik,1
"Index([1964], dtype='int64')",sebentar sebentar percaya kalo prabowo gibran jokowi duit seri pupuk za darimana usaha bumn mudah pupuk jual subsidi otlet resmi susah pupuk subsidi kuota batas kemarin mafia mi tangkap mafia pupuk selamat kontribusi nih,Sumber Daya Alam,1
"Index([2989], dtype='int64')",sebentar sebentar percaya kalo prabowo gibran jokowi duit seri pupuk za darimana usaha bumn mudah pupuk jual subsidi otlet resmi susah pupuk subsidi kuota batas kemarin mafia mi tangkap mafia pupuk selamat kontribusi nih,Politik,1
"Index([207], dtype='int64')",sederhana dampak paslon no capres ganjar pranowo cawapres mahfud md rencana ramping regulasi hukum investor indonesia ganjarmahfudrebound ganjarpranowopilihanumat jnk,Politik,1
"Index([1157], dtype='int64')",sederhana dampak paslon no capres ganjar pranowo cawapres mahfud md rencana ramping regulasi hukum investor indonesia ganjarmahfudrebound ganjarpranowopilihanumat jnk,Ekonomi,1
"Index([2674], dtype='int64')",surat buka capres ri totalitas dukung merdeka palestina yth calon presiden republik indonesia surat buka capres pilih takdir presiden republik indonesia laku upaya hadap palestina israel politik ekonomi butuh dunia arab mesra israel suratterbuka capres2024 freepalestine stopgenocide capresbelapalestina,Pertahanan dan Keamanan,1
"Index([4556], dtype='int64')",surat buka capres ri totalitas dukung merdeka palestina yth calon presiden republik indonesia surat buka capres pilih takdir presiden republik indonesia laku upaya hadap palestina israel politik ekonomi butuh dunia arab mesra israel suratterbuka capres2024 freepalestine stopgenocide capresbelapalestina,Politik,1
"Index([794, 1462, 1485, 3263], dtype='int64')",tanah negara tanah rakyat tanah bangsa kuasa banding kuasa asing prabowo kuasa banding tentara tentara paruh rumah dinas banding tani milik lahan garap buruh tani banding tanah hak adat rakyat habis konsesi konglomerat kayak bagus bangsa pimpin orang model sila nilai,Sosial Budaya,4
"Index([3899], dtype='int64')",tanah negara tanah rakyat tanah bangsa kuasa banding kuasa asing prabowo kuasa banding tentara tentara paruh rumah dinas banding tani milik lahan garap buruh tani banding tanah hak adat rakyat habis konsesi konglomerat kayak bagus bangsa pimpin orang model sila nilai,Politik,1
"Index([641, 3965], dtype='int64')",tani paslon capres ganjar pranowo dengar aspirasi kuota pupuk tingkat dukung tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Sumber Daya Alam,2
"Index([727, 789, 1992, 4365, 4501], dtype='int64')",tani paslon capres ganjar pranowo dengar aspirasi kuota pupuk tingkat dukung tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Ekonomi,5
"Index([1806, 3472], dtype='int64')",tani paslon ganjar pranowo dengerin banget aspirasi kuota pupuk bantu tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Sosial Budaya,2
"Index([4754], dtype='int64')",tani paslon ganjar pranowo dengerin banget aspirasi kuota pupuk bantu tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Ekonomi,1
"Index([1041, 1805, 2346], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Pertahanan dan Keamanan,3
"Index([1158], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Demografi,1
"Index([1379, 1610], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Sosial Budaya,2
"Index([1456, 2176], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Ideologi,2
"Index([1029, 1143, 2010, 2089, 2381, 3069, 3433, 3582, 3994, 4308, 4416], dtype='int64')",terang nyata danau jakarta selatan depok damping air hujan salah karya inovatif gubenur anies baswedan rekam jejak,Sumber Daya Alam,11
"Index([4411], dtype='int64')",terang nyata danau jakarta selatan depok damping air hujan salah karya inovatif gubenur anies baswedan rekam jejak,Demografi,1
"Index([17, 4461], dtype='int64')",trending twitter anies bubble fenomena roket fans pop amin isme,Sosial Budaya,2
"Index([1978, 3703], dtype='int64')",trending twitter anies bubble fenomena roket fans pop amin isme,Ideologi,2
